date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-02-21,69.9727,70.2061,68.8967,68.9821,69757247,9965321,-0.774858,-1.111,69.4256,"Feb 21, 14",0.0,2014,2,0.012762116312377284,0.006391270171772753,3.0
2014-02-24,68.7063,69.5954,68.6104,69.2841,72364950,10337850,0.302061,0.438,69.1567,"Feb 24, 14",0.0043779473225661,2014,2,0.004900101379267085,0.008251668814544134,3.0
2014-02-25,69.5245,69.5488,68.4239,68.5631,58247350,8321050,-0.72101,-1.041,68.9153,"Feb 25, 14",-0.0060740394972028,2014,2,0.009979618607844768,0.0038101210614375804,2.0
2014-02-26,68.7667,68.9492,67.7147,67.9446,69131286,9875898,-0.618575,-0.902,68.1373,"Feb 26, 14",-0.015040133599876,2014,2,0.005275074296165273,0.0,3.0
2014-02-27,67.917,69.4457,67.7738,69.2999,75557321,10793903,1.3553,1.995,68.8615,"Feb 27, 14",0.0046069922487136,2014,2,0.0,0.008349000928967266,3.0
2014-02-28,69.4851,69.9671,68.571,69.1121,93074653,13296379,-0.187807,-0.271,69.2731,"Feb 28, 14",0.0018845468607072,2014,2,0.009735017069338336,0.007192104024621353,4.0
2014-03-03,68.7417,69.6913,68.6616,69.3117,59667923,8523989,0.199626,0.289,69.1371,"Mar 3, 14",0.0047780511176087,2014,3,0.005119870274270296,0.008421692001764345,2.0
2014-03-04,69.7372,69.9526,69.313,69.7688,64884834,9269262,0.457035,0.659,69.694,"Mar 4, 14",0.0114044078101419,2014,3,0.01130009442612692,0.011237547033588232,2.0
2014-03-05,69.7267,70.2297,69.4916,69.9158,50065519,7152217,0.147093,0.211,71.9382,"Mar 5, 14",0.0135353954141726,2014,3,0.011234908736930999,0.012143105313347868,2.0
2014-03-06,69.9723,70.189,69.3564,69.7044,46423111,6631873,-0.211448,-0.302,69.7696,"Mar 6, 14",0.0104708322883763,2014,3,0.01275963304802697,0.010840826263407884,1.0
